time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.516374756591,10.2975321371,11.662278926,0.0816652934615,0.146896118576,0.0,-1.17469852969,0.61619070917,2.28224653815,0.0742787964187,0.0688666806906,0.0,454.8951050439769,455.97060995732284,453.8509260121616,455.91173482751293
1.3800000000000008,-0.589977106663,10.3362054075,11.8022316675,0.0861681618575,0.15234259727,0.0,-1.27926845495,0.673339502434,2.38244472772,0.0757199230426,0.0550497106534,0.0,446.737968353396,445.612968671273,445.8922185375431,446.0142892419647
1.4400000000000008,-0.670234572298,10.3785518456,11.9499042796,0.0914807538424,0.15667601234,0.0,-1.39641268952,0.738734557023,2.53942463243,0.0842028649185,0.065033855262,0.0,464.3913385760235,465.1760305186425,463.9995642641362,464.6696745309612
1.5000000000000009,-0.75751866583,10.4248778365,12.1063022933,0.0969609925235,0.161185964207,0.0,-1.51350156959,0.806007691388,2.6733063584,0.0757353656558,0.0724584960664,0.0,457.94565831327606,458.53912732095193,459.3895471018596,458.7227752982575
1.560000000000001,-0.85125460963,10.4749463879,12.2665755565,0.101527691224,0.165522767916,0.0,-1.61143290359,0.863319338752,2.66896719837,0.0724976707202,0.0716534506481,0.0,414.4256519365034,414.3593224086012,415.56095996135616,415.2818442192063
1.620000000000001,-0.951538420758,10.5288940803,12.4299410495,0.110912300998,0.17416187176,0.0,-1.73224779418,0.935814489251,2.77590343218,0.0959063375944,0.0476007533067,0.0,452.328097078804,450.3898477009788,451.4954739546779,453.38526901124396
1.680000000000001,-1.05947583946,10.5875375732,12.6009975204,0.120845541072,0.177965673725,0.0,-1.86604932361,1.02000243302,2.92524945159,0.0722802576736,0.0356687264691,0.0,467.1784881857074,466.24816605065337,466.9918415749678,465.1513616245302
1.740000000000001,-1.17556546923,10.6514513703,12.7811724215,0.126199754082,0.18044587553,0.0,-2.00383776642,1.11094516736,3.07989231451,0.0821941465357,0.0279685852665,0.0,468.8667498381756,468.26849214867235,469.9703413343044,470.7422966588753
1.8000000000000012,-1.29868341933,10.7200441825,12.9635031929,0.136921076343,0.183828095412,0.0,-2.10043757649,1.17626424338,2.99776485548,0.107379208083,0.0124181318622,0.0,392.1920311219353,390.7450681081707,392.3142349699867,394.6540052844685
1.8600000000000012,-1.42880332206,10.7935579488,13.1470024861,0.143848878127,0.184614812685,0.0,-2.23694679076,1.27484205772,3.11826444408,0.0984553607467,0.0137549570043,0.0,460.74691922690437,460.8524747106257,460.78470310042013,460.08777854201594
1.9200000000000013,-1.56771180813,10.8735632558,13.340711564,0.149780300029,0.18542813685,0.0,-2.39334588677,1.39256147947,3.33773401459,0.099336449738,0.0124979706683,0.0,492.529295874038,492.43618334434836,490.917899069181,490.99064130396243
1.9800000000000013,-1.71430805471,10.9593909714,13.538448006,0.157596286203,0.186253949647,0.0,-2.49336168104,1.4689552518,3.25351030911,0.083164633976,0.00804955031342,0.0,396.0955681582404,395.6861128841593,395.76737927981145,394.2846820474511
2.0400000000000014,-1.86845813003,11.0511834853,13.7390921291,0.162752508765,0.187346453529,0.0,-2.64502367668,1.59123267856,3.43373698954,0.0773378457551,0.0154857392592,0.0,481.77300584467093,482.3348246187115,482.4658127499802,482.03042989701345
2.1000000000000014,-2.03140349002,11.1501071936,13.9485321703,0.1705580128,0.196995194675,0.0,-2.78746879998,1.70688724659,3.54660620235,0.0566113105544,-0.0180838384859,0.0,464.89072178993956,462.25265770791594,464.6097142447738,462.985325733084
2.1600000000000015,-2.20343728824,11.2563709409,14.1662279247,0.173970389295,0.209490673637,0.0,-2.94822841506,1.83538061036,3.70869142045,0.053587669303,0.0211030785402,0.0,478.99407107140064,481.9652059235568,481.2478835591226,481.02077632320146
2.2200000000000015,-2.38367870163,11.3690415128,14.3857570018,0.183279113129,0.210756702104,0.0,-3.06004515364,1.92099286606,3.60895395086,0.0253198007616,0.0210952411987,0.0,396.7921224211108,396.79145544766726,398.0878641259261,395.4938429764014
2.2800000000000016,-2.57091970058,11.4871575435,14.600369038,0.184787537935,0.21680911535,0.0,-3.18187291764,2.01625737888,3.54466223116,0.0237341205146,0.0438918600516,0.0,408.78808317077414,410.8150609102928,409.354446353542,409.2134520991809
2.3400000000000016,-2.76638443706,11.6116849439,14.814686227,0.190556947012,0.219641836555,0.0,-3.33390256111,2.13503732253,3.59861427865,0.0454006262479,0.0376571870349,0.0,451.2823243531941,450.7796529136408,447.9934801640037,449.75228806216245
2.4000000000000017,-2.97126808428,11.7436094381,15.033144868,0.193290534764,0.223743989055,0.0,-3.49595610511,2.26252226201,3.68257885905,0.0458086744604,0.0215383563017,0.0,461.3886023070779,460.11448994656774,461.1185005700311,461.15186218409946
